"repeater","band","channel","TX","RX","mode","QTHR","where","region","code","keeper","status",
GB3LU,2M,RV54,145.675000,145.075000,AV,IP90JD,LERWICK,SCOT,77,GM0GFL,OPERATIONAL,
GB3LV,70CM,RB02,433.050000,434.650000,AV,IO91XP,NORTH LONDON,SE,82.5,G4DFB,REDUCED OUTPUT,
GB3LY,2M,RV48,145.600000,145.000000,AV,IO65NC,LIMAVADY,NI,110.9,MI1VOX,OPERATIONAL,
GB3LZ,2M,RV53,145.662500,145.062500,MULTI,IO80CV,LAPFORD,SW,77,G4MQQ,OPERATIONAL,
GB3MA,6M,R50-01,50.720000,51.220000,AV,IO83SM,ATHERTON,NOR,82.5,G4YYB,NOT OPERATIONAL,
GB3MB,70CM,RB15,433.375000,434.975000,MULTI,IO81HR,MERTHYR,WM,94.8,GW0UXJ,OPERATIONAL,
GB3MC,70CM,DMU27,439.337500,430.337500,MULTI,IO83KJ,LEASOWE,NOR,110.9,G4YWD,OPERATIONAL,
GB3MD,70CM,RU77,430.962500,438.562500,MULTI,IO82GN,LLANFAIR CAEREINION,WM,103.5,GW4BML,NOT OPERATIONAL,
GB3ME,70CM,RB06,433.150000,434.750000,AV,IO92JJ,RUGBY,MIDL,67,G7BQM,OPERATIONAL,
GB3MG,70CM,RU72,430.900000,438.500000,DV,IO81KP,PONTYPRIDD,WM,,GW0UXJ,NOT OPERATIONAL,
GB3MH,2M,RV50,145.625000,145.025000,AV,IO91WC,EAST GRINSTEAD,SE,88.5,G3NZP,OPERATIONAL,
GB3MI,2M,RV57,145.712500,145.112500,MULTI,IO83VM,MANCHESTER,NOR,82.5,G0TOG,OPERATIONAL,
GB3MK,70CM,RB0,433.000000,434.600000,MULTI,IO92OB,MILTON KEYNES,SW,77,G6GEI,OPERATIONAL,
GB3ML,70CM,RU73,430.912500,438.512500,MULTI,IO91RK,STAINES UPON THAMES,SE,3,M0TIG,OPERATIONAL,
GB3MM,23CM,RM06,1297.150000,1291.150000,AV,IO82XP,WOLVERHAMPTON,MIDL,67,G8NDT,NOT OPERATIONAL,
GB3MN,2M,RV52,145.650000,145.050000,MULTI,IO83XH,DISLEY,NOR,82.5,G8LZO,OPERATIONAL,
GB3MR,70CM,RB14,433.350000,434.950000,AV,IO83XH,STOCKPORT,NOR,82.5,G8LZO,OPERATIONAL,
GB3MT,70CM,RU72,430.900000,438.500000,AV,IO64QS,MAGHERAFELT,NI,110.9,MI0GRN,OPERATIONAL,
GB3MW,70CM,RB10,433.250000,434.850000,AV,IO92FH,LEAMINGTON SPA,MIDL,67,G6FEO,NOT OPERATIONAL,
GB3MY,70CM,RB11,433.275000,434.875000,MULTI,IO83SM,ATHERTON,NOR,82.5,G4YYB,OPERATIONAL,
GB3NA,2M,RV49,145.612500,145.012500,MULTI,IO93HN,BARNSLEY,NOR,71.9,G4LUE,OPERATIONAL,
